regime,factorKey,factorLabel,factorValue,seedRep,metricKey,metricLabel,fixedValue,greedyValue,ratio,arrivalsPerStep,departuresPerStep,gridSize,simDuration,arrivalMin,arrivalMax,departureRate,requestedFactorValue,runSeed,inflowSeedOffset
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,vehiclesInNetwork,Vehicles In Network (Final),148891,144901,0.973201872510763,400,160,5,500,0,40,8,0.5789,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,sumQueueSizes,Total Queue Size (Final),147030,142353,0.9681901652723934,400,160,5,500,0,40,8,0.5789,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8372.18173284905,7124.742939737852,0.8510019451421182,400,160,5,500,0,40,8,0.5789,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),25152753,21834357,0.8680702665032333,400,160,5,500,0,40,8,0.5789,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),7685099.618662617,5775526.731983711,0.7515226891735184,400,160,5,500,0,40,8,0.5789,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,throughput,Network Throughput (Final),45488,50477,1.1096772775237425,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,vehiclesInNetwork,Vehicles In Network (Final),153576,148587,0.9675144553836537,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,sumQueueSizes,Total Queue Size (Final),152057,146152,0.9611658785850044,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8394.829013845876,7309.47980904133,0.8707121725749931,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),26698144,22607935,0.8467980021382759,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6316,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),8212962.271451802,6085544.838727673,0.7409683178359388,400,160,5,500,0,40,8,0.6316,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.6842,0,throughput,Network Throughput (Final),40868,46503,1.1378829401977097,400,160,5,500,0,40,8,0.6842,2,0
